,movie,year,imdb,metascore,votes,grossMillions,timeMin
395,The Skin I Live In,2011,7.6,70.0,133643,3.19,120
396,The Theory of Everything,2014,7.7,72.0,387101,35.89,123
397,The Hurt Locker,2008,7.6,95.0,411692,17.02,131
398,Grave of the Fireflies,1988,8.5,94.0,221658,24.795,89
399,Empire of the Sun,1987,7.7,62.0,112188,22.24,153
400,Roma,2018,7.7,96.0,132310,24.795,135
401,Die Hard with a Vengeance,1995,7.6,58.0,355307,100.01,128
402,The Crow,1994,7.6,71.0,162601,50.69,102
403,Breakfast at Tiffany's,1961,7.7,76.0,161689,24.795,115
404,Lord of War,2005,7.6,62.0,288406,24.15,122
405,Life of Pi,2012,7.9,79.0,566689,124.99,127
406,Only the Brave,2017,7.6,72.0,53949,18.34,134
407,Blow,2001,7.6,52.0,235019,52.99,124
408,Cinema Paradiso,1988,8.5,80.0,219835,11.99,155
409,To Kill a Mockingbird,1962,8.2,88.0,286922,24.795,129
410,Gran Torino,2008,8.1,72.0,702743,148.1,116
411,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,146414,78.76,85
412,The Others,2001,7.6,74.0,328449,96.52,104
413,The Great Escape,1963,8.2,86.0,217847,12.1,172
414,The Elephant Man,1980,8.1,78.0,212556,24.795,124
415,This Is Spinal Tap,1984,7.9,92.0,125776,0.19,82
416,Sleepers,1996,7.6,49.0,182829,49.1,147
417,My Cousin Vinny,1992,7.6,68.0,102685,52.93,120
418,It's a Wonderful Life,1946,8.6,89.0,385111,24.795,130
419,Wreck-It Ralph,2012,7.7,72.0,368818,189.42,101
420,Stalker,1979,8.2,79.0,110028,0.23,162
421,Rain Man,1988,8.0,65.0,462056,178.8,133
422,The Count of Monte Cristo,2002,7.8,61.0,126058,54.23,131
423,North by Northwest,1959,8.3,98.0,289023,13.28,136
424,M,1931,8.3,79.0,137817,0.03,99
425,The King's Speech,2010,8.0,88.0,624441,138.8,118
426,Gangs of Wasseypur,2012,8.2,89.0,76601,24.795,321
427,Coraline,2009,7.7,80.0,189083,75.29,100
428,Hunt for the Wilderpeople,2016,7.9,81.0,102786,5.2,101
429,Road to Perdition,2002,7.7,72.0,241004,104.45,117
430,Das Boot,1981,8.3,86.0,224250,11.49,149
431,Togo,2019,8.0,69.0,28797,24.795,113
432,Creed,2015,7.6,82.0,240095,109.77,133
433,Boyhood,2014,7.9,100.0,328909,25.38,165
434,End of Watch,2012,7.6,68.0,222849,41.0,109
435,Mr. Nobody,2009,7.8,63.0,210160,0.0,141
436,Spartacus,1960,7.9,87.0,120771,30.0,197
437,Moon,2009,7.9,67.0,327413,5.01,97
438,Walk the Line,2005,7.8,72.0,227861,119.52,136
439,Ponyo,2008,7.7,86.0,118185,15.09,101
440,I Saw the Devil,2010,7.8,67.0,104503,0.13,144
441,Sunset Blvd.,1950,8.4,79.0,193662,24.795,110
442,The Color Purple,1985,7.8,78.0,75686,98.47,154
443,Beauty and the Beast,1991,8.0,95.0,408447,218.97,84
444,Sense and Sensibility,1995,7.6,84.0,98566,43.18,136
445,The Thin Red Line,1998,7.6,78.0,168134,36.4,170
446,Barry Lyndon,1975,8.1,89.0,143586,24.795,185
447,Lost Highway,1997,7.6,52.0,126524,3.8,134
448,Fiddler on the Roof,1971,8.0,67.0,37765,80.5,181
449,Guess Who's Coming to Dinner,1967,7.8,63.0,37945,56.7,108
450,Dogville,2003,8.0,60.0,133988,1.53,178
